City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
santa cruz,0,1601001085,69,-17.8,-63.17,299.15,3.1
saint-francois,90,1601001144,62,46.42,3.91,285.15,2.1
mehamn,99,1601001144,88,71.04,27.85,278.07,7.35
samarai,77,1601001145,82,-10.62,150.67,299.28,6.19
necochea,40,1601001145,84,-38.55,-58.74,283.15,1.79
petatlan,67,1601001145,85,17.52,-101.27,298.8,1.24
riyadh,100,1601001080,36,24.69,46.72,298.15,1.5
baruun-urt,100,1601001145,36,46.68,113.28,291.7,4.86
porbandar,38,1601001145,75,21.64,69.61,300.99,5.17
ibra,0,1601001146,36,22.69,58.53,301.35,1.31
mindupok,21,1601001146,59,6.09,124.42,303.91,2.53
buchanan,100,1601001146,91,5.88,-10.05,297.35,1.95
sola,3,1601001146,84,-13.88,167.55,300.1,6.61
east wenatchee bench,20,1601001146,55,47.43,-120.28,289.15,2.1
sao felix do xingu,70,1601001147,86,-6.64,-51.99,297.02,0.4
aberdeen,40,1601001147,81,57.14,-2.1,280.15,4.6
novovasylivka,97,1601001147,69,46.83,35.75,290.11,4.16
maridi,100,1601001147,96,4.92,29.47,292.77,1.51
anzio,40,1601001147,88,41.49,12.62,296.48,6.7
kaihua,100,1601001147,86,23.37,104.28,293.5,2.81
chifeng,56,1601001148,47,42.27,118.96,292.94,1.29
koygorodok,2,1601001148,97,60.45,51,278.89,2.49
manali,75,1601001148,78,13.17,80.27,300.15,2.1
lahad datu,97,1601001148,63,5.03,118.33,303.58,1.82
bozoum,100,1601001148,95,6.32,16.38,293.37,2.24
krasnorechenskiy,100,1601001148,82,44.63,135.35,285.89,3.13
la sarre,30,1601001149,81,48.8,-79.2,276.68,1.06
vilyuysk,0,1601001149,53,63.76,121.62,283.45,4.9
ortega,91,1601001149,55,3.94,-75.22,298.86,2.02
okha,0,1601001149,70,53.57,142.95,286.6,4.2
kiama,73,1601001149,41,-34.68,150.87,295.37,2.24
cairns,0,1601000853,58,-16.92,145.77,302.04,3.6
karratha,0,1601001210,21,-20.74,116.85,306.11,4.88
calvinia,0,1601001210,69,-31.47,19.78,281.37,2.71
chumikan,49,1601001210,78,54.72,135.31,285.18,9.37
cockburn town,0,1601001210,79,21.46,-71.14,301.48,6.69
sibolga,63,1601001210,59,1.74,98.78,302.96,1.22
dalbandin,0,1601001211,20,28.89,64.41,294.75,2.25
kenai,90,1601001211,81,60.55,-151.26,284.15,3.1
qeshm,5,1601001211,41,26.96,56.27,299.15,3.1
vicente guerrero,75,1601001211,81,19.12,-98.17,287.71,0.97
mamou,98,1601001211,94,10.5,-12,292.94,0.33
novyy urengoy,0,1601001212,83,66.08,76.63,276.74,3.28
lambare,57,1601001212,37,-25.35,-57.61,302.15,2.6
pevek,100,1601001212,92,69.7,170.31,273.67,6.26
macau,20,1601001139,74,22.2,113.55,302.15,5.7
waddan,0,1601001213,30,29.16,16.14,298.54,1.8
haines junction,94,1601001213,71,60.75,-137.51,281.28,0.11
lumphat,100,1601001213,85,13.49,106.98,300.24,0.91
awjilah,0,1601000941,34,29.11,21.29,298.16,1.28
sovetskaya gavan,74,1601001213,62,48.97,140.29,290.0,5.73
buin,100,1601001214,87,-33.73,-70.75,289.26,3.6
